id_umkm,provinsi,sektor,skala_usaha,usia_usaha,punya_smartphone,punya_medsos_bisnis,punya_marketplace,jumlah_platform,frekuensi_posting_mgg,pakai_pembayaran_digital,persen_omzet_online,ikut_pelatihan_digital,punya_website,pakai_tools_manajemen,digital_readiness_score,kategori_score,klaster,pca_1,pca_2,nama_klaster
UMKM0039,DKI Jakarta,Kuliner,Mikro,1-3 tahun,1,0,0,0,0,0,5.8,1,0,0,15.58,Rendah (0-25),0,-1.8293232841248817,-1.2397952942936161,Digital Laggard
UMKM0040,Jawa Tengah,Kuliner,Mikro,1-3 tahun,1,0,1,2,0,0,33.5,0,0,0,40.02,Sedang (25-50),3,0.6993858145697943,-2.3420495514699677,Digital Adopter
UMKM0041,Jawa Timur,Fashion,Mikro,> 5 tahun,1,0,1,2,0,1,30.4,0,1,0,54.71,Tinggi (50-75),1,1.2772287788002077,-2.2494864505313634,Digital Champion
UMKM0042,Jawa Tengah,Jasa,Menengah,3-5 tahun,1,1,1,2,2,1,49.8,1,0,1,80.65,Sangat Tinggi (75-100),3,2.6648264519661184,0.028135776859521202,Digital Adopter
UMKM0043,Jawa Timur,Kuliner,Mikro,3-5 tahun,1,1,0,0,4,0,0.4,0,0,0,33.04,Sedang (25-50),2,-1.4365668305178454,1.7482930275977338,Digital Beginner
UMKM0044,Bali,Kerajinan,Mikro,< 1 tahun,1,0,1,2,0,0,38.7,0,0,0,40.54,Sedang (25-50),3,0.8263377821613815,-2.3752976600761473,Digital Adopter
UMKM0045,Jawa Barat,Elektronik,Kecil,> 5 tahun,1,1,1,1,3,1,62.2,1,0,1,80.55,Sangat Tinggi (75-100),3,2.535137623584981,0.5628571046981385,Digital Adopter
UMKM0046,DKI Jakarta,Kerajinan,Kecil,> 5 tahun,1,1,1,2,1,1,53.7,1,0,1,79.04,Sangat Tinggi (75-100),3,2.6578225472676986,-0.4142201133448667,Digital Adopter
UMKM0047,Jawa Barat,Kuliner,Mikro,< 1 tahun,1,1,1,1,2,1,32.8,0,0,0,65.61,Tinggi (50-75),3,1.003446955036239,-0.029917645751333374,Digital Adopter
UMKM0048,Jawa Tengah,Kuliner,Mikro,> 5 tahun,1,1,0,0,5,0,1.5,0,0,0,35.15,Sedang (25-50),2,-1.3074937262121302,2.158679582603872,Digital Beginner
UMKM0049,Jawa Tengah,Elektronik,Mikro,3-5 tahun,1,1,1,1,4,0,31.0,0,0,0,59.43,Tinggi (50-75),3,0.9425848254014352,0.9601928177191342,Digital Adopter
UMKM0050,Jawa Timur,Kuliner,Mikro,< 1 tahun,1,1,0,0,1,1,7.6,1,1,0,47.76,Sedang (25-50),2,-0.5996342110210212,0.6588506631108985,Digital Beginner
UMKM0051,Kalimantan Timur,Elektronik,Mikro,3-5 tahun,1,1,0,0,1,0,7.6,0,0,0,27.76,Sedang (25-50),2,-1.5674408242596705,0.44999775866299446,Digital Beginner
UMKM0052,Sumatera Utara,Fashion,Mikro,3-5 tahun,1,0,0,0,0,1,5.3,1,0,0,25.53,Sedang (25-50),0,-1.6201772255252134,-1.3803602460733824,Digital Laggard
UMKM0053,Bali,Elektronik,Mikro,1-3 tahun,1,1,1,2,3,0,18.2,0,0,0,59.49,Tinggi (50-75),3,1.0625081178139888,0.42802903669637665,Digital Adopter
UMKM0054,Bali,Jasa,Mikro,> 5 tahun,1,1,1,2,4,0,11.2,0,0,0,60.79,Tinggi (50-75),3,0.9938291187558855,0.8902059147236793,Digital Adopter
UMKM0055,Jawa Tengah,Pertanian,Kecil,> 5 tahun,1,0,1,3,0,1,26.6,1,0,1,62.66,Tinggi (50-75),3,1.9986275159372002,-2.274944591911072,Digital Adopter
UMKM0056,Bali,Fashion,Menengah,3-5 tahun,1,1,1,1,2,1,89.7,1,1,1,86.3,Sangat Tinggi (75-100),1,3.5364732304595337,0.1861099507732938,Digital Champion
UMKM0057,Jawa Timur,Jasa,Mikro,3-5 tahun,1,1,0,0,4,1,3.5,0,0,0,43.35,Sedang (25-50),2,-1.1395309482009246,1.5847101544752278,Digital Beginner
UMKM0058,Jawa Timur,Fashion,Mikro,1-3 tahun,1,1,0,0,2,1,10.0,0,0,0,40.0,Sedang (25-50),2,-1.1852767494956609,0.7083104012179966,Digital Beginner
UMKM0059,Jawa Timur,Fashion,Mikro,3-5 tahun,1,1,0,0,1,0,4.3,1,0,1,37.43,Sedang (25-50),2,-0.9363006015347498,0.8344321525592655,Digital Beginner
UMKM0060,Jawa Barat,Kerajinan,Menengah,3-5 tahun,0,1,1,2,3,1,85.0,1,1,1,81.17,Sangat Tinggi (75-100),1,4.259586804648519,0.7210634514473586,Digital Champion
UMKM0061,Jawa Barat,Elektronik,Mikro,< 1 tahun,1,0,0,0,0,0,3.6,0,0,0,10.36,Rendah (0-25),0,-2.197314477203805,-1.3618395781386003,Digital Laggard
UMKM0062,Jawa Barat,Pertanian,Mikro,3-5 tahun,1,0,0,0,0,1,1.3,0,0,0,20.13,Rendah (0-25),0,-2.0321133304627628,-1.4908955692469967,Digital Laggard
UMKM0063,Sulawesi Selatan,Jasa,Mikro,> 5 tahun,1,1,1,3,3,1,45.8,0,0,0,75.58,Sangat Tinggi (75-100),3,2.492321402005996,-0.08878904927807547,Digital Adopter
UMKM0064,Jawa Barat,Fashion,Mikro,3-5 tahun,1,1,0,0,3,0,2.8,1,0,1,41.28,Sedang (25-50),2,-0.7684856006327184,1.6788625706182472,Digital Beginner
UMKM0065,Jawa Barat,Fashion,Mikro,< 1 tahun,1,0,1,1,0,1,42.5,1,0,1,57.58,Tinggi (50-75),3,1.3175309230897196,-1.9834361370804592,Digital Adopter
UMKM0066,Jawa Tengah,Kerajinan,Mikro,> 5 tahun,1,1,0,0,2,0,6.9,0,0,0,29.69,Sedang (25-50),2,-1.4823126318125819,0.8718932743405027,Digital Beginner
UMKM0067,Jawa Timur,Kuliner,Mikro,1-3 tahun,1,1,0,0,2,0,0.7,0,0,1,34.07,Sedang (25-50),2,-1.2362532901116057,1.1387590913195444,Digital Beginner
UMKM0068,Sumatera Utara,Kuliner,Menengah,1-3 tahun,0,1,1,1,5,1,41.3,0,0,1,67.46,Tinggi (50-75),3,2.116045802387387,1.6792857392125946,Digital Adopter
UMKM0069,Jawa Timur,Fashion,Mikro,1-3 tahun,1,0,0,0,0,0,0.9,0,0,0,10.09,Rendah (0-25),0,-2.2632318449917443,-1.3445761371315457,Digital Laggard
UMKM0070,Kalimantan Timur,Kuliner,Kecil,1-3 tahun,1,1,1,2,2,1,65.1,1,0,1,82.18,Sangat Tinggi (75-100),3,3.038358202764442,-0.06969038884712245,Digital Adopter
UMKM0071,Sumatera Utara,Kuliner,Kecil,> 5 tahun,1,0,0,0,0,1,2.7,0,1,1,30.27,Sedang (25-50),0,-1.1683359159321591,-1.0561191433540136,Digital Laggard
UMKM0072,Jawa Timur,Kuliner,Mikro,3-5 tahun,1,0,0,0,0,0,5.7,0,0,1,15.57,Rendah (0-25),0,-1.7486202641547184,-1.148042857588653,Digital Laggard
UMKM0073,Jawa Timur,Kuliner,Mikro,1-3 tahun,1,1,1,1,1,1,34.6,0,0,0,63.79,Tinggi (50-75),3,0.9451739865027552,-0.4588464151724565,Digital Adopter
UMKM0074,Sumatera Utara,Kuliner,Mikro,> 5 tahun,1,1,1,1,5,1,22.9,0,0,0,70.62,Tinggi (50-75),3,1.0684035809901247,1.2856410641904608,Digital Adopter
UMKM0075,DKI Jakarta,Pertanian,Mikro,> 5 tahun,1,0,1,1,0,0,32.8,1,0,1,46.61,Sedang (25-50),3,0.8593636972911688,-1.7776537414962634,Digital Adopter
UMKM0076,Sumatera Utara,Fashion,Kecil,> 5 tahun,1,1,0,0,4,1,1.8,0,0,0,43.18,Sedang (25-50),2,-1.181034476067405,1.5955797284426327,Digital Beginner
UMKM0077,Sumatera Utara,Fashion,Menengah,1-3 tahun,1,1,1,1,1,1,86.2,1,0,1,78.95,Sangat Tinggi (75-100),3,2.9166340209157786,-0.4254353217529658,Digital Adopter
UMKM0078,Jawa Timur,Kerajinan,Mikro,3-5 tahun,1,1,0,0,2,0,0.8,0,0,0,29.08,Sedang (25-50),2,-1.631237055333482,0.9108958632823672,Digital Beginner
UMKM0079,Jawa Barat,Kuliner,Mikro,> 5 tahun,1,1,0,0,1,0,7.8,1,0,0,32.78,Sedang (25-50),2,-1.2482773110236656,0.5848297765872786,Digital Beginner
UMKM0080,Jawa Timur,Elektronik,Menengah,> 5 tahun,1,1,0,0,4,1,0.7,1,0,0,48.07,Sedang (25-50),2,-0.893608954729297,1.7387237735184617,Digital Beginner
UMKM0081,Sulawesi Selatan,Jasa,Kecil,< 1 tahun,1,1,1,3,3,1,36.4,1,1,1,89.64,Sangat Tinggi (75-100),1,3.4067100906365555,0.5511519319753411,Digital Champion
UMKM0082,DKI Jakarta,Kuliner,Kecil,< 1 tahun,1,0,1,1,0,0,43.4,1,0,1,47.67,Sedang (25-50),3,1.118150400458635,-1.8454287321165526,Digital Adopter
UMKM0083,Jawa Barat,Fashion,Mikro,3-5 tahun,1,0,0,0,0,1,2.4,0,1,0,25.24,Sedang (25-50),0,-1.5730852171226193,-1.2814248245753306,Digital Laggard
UMKM0084,Jawa Timur,Elektronik,Mikro,> 5 tahun,1,1,0,0,1,0,9.9,1,0,1,37.99,Sedang (25-50),2,-0.7995830979745792,0.798626497137226,Digital Beginner
UMKM0085,Jawa Barat,Elektronik,Kecil,3-5 tahun,1,1,1,2,1,1,61.3,0,1,0,74.8,Tinggi (50-75),1,2.56383472563159,-0.6096441370963515,Digital Champion
UMKM0086,Jawa Barat,Fashion,Kecil,3-5 tahun,1,1,1,1,1,1,42.5,0,0,0,64.58,Tinggi (50-75),3,1.1380433218822819,-0.5093579647856908,Digital Adopter
UMKM0087,Sumatera Utara,Kerajinan,Mikro,< 1 tahun,1,0,1,3,0,1,41.8,0,0,0,54.18,Tinggi (50-75),3,1.6580119882776423,-2.7354660035791767,Digital Adopter
UMKM0088,DKI Jakarta,Kuliner,Mikro,3-5 tahun,1,1,1,2,3,0,20.3,0,0,1,64.7,Tinggi (50-75),3,1.5112023308630753,0.641825757246324,Digital Adopter
UMKM0089,Sulawesi Selatan,Pertanian,Mikro,> 5 tahun,1,1,0,0,3,0,6.5,0,0,1,36.65,Sedang (25-50),2,-0.9924351381750328,1.5190944712393284,Digital Beginner
UMKM0090,Jawa Tengah,Kuliner,Mikro,1-3 tahun,1,1,1,2,2,1,48.4,0,0,0,70.51,Tinggi (50-75),3,1.91894118161034,-0.3262474419503953,Digital Adopter
UMKM0091,Jawa Timur,Elektronik,Mikro,> 5 tahun,1,1,1,3,1,1,13.6,0,0,0,68.36,Tinggi (50-75),3,1.5017599957507943,-0.7177461481008547,Digital Adopter
UMKM0092,DKI Jakarta,Kerajinan,Menengah,> 5 tahun,1,1,1,2,1,1,77.9,0,0,1,76.46,Sangat Tinggi (75-100),3,2.9343567281152945,-0.705062487036609,Digital Adopter
UMKM0093,Sumatera Utara,Kerajinan,Mikro,1-3 tahun,1,0,0,0,0,1,6.9,0,0,0,20.69,Rendah (0-25),0,-1.895395826902592,-1.5267012246690363,Digital Laggard
UMKM0094,Jawa Tengah,Fashion,Kecil,3-5 tahun,1,1,0,0,4,0,3.9,0,0,1,38.39,Sedang (25-50),2,-0.9536932415787164,1.9531383342921713,Digital Beginner
UMKM0095,Sumatera Utara,Kuliner,Mikro,1-3 tahun,1,1,0,0,3,0,8.8,0,0,0,31.88,Sedang (25-50),2,-1.3337084555696994,1.2771647357149214,Digital Beginner
UMKM0096,Jawa Tengah,Kuliner,Kecil,> 5 tahun,1,1,0,0,1,1,9.8,0,1,1,47.98,Sedang (25-50),2,-0.4627793592315018,0.7358972056246667,Digital Beginner
UMKM0097,Jawa Tengah,Kuliner,Menengah,3-5 tahun,1,1,1,2,1,1,69.7,1,1,1,85.64,Sangat Tinggi (75-100),1,3.480616875437582,-0.30001798756398435,Digital Champion
UMKM0098,Jawa Tengah,Kuliner,Mikro,3-5 tahun,1,1,0,0,4,1,3.9,0,0,1,48.39,Sedang (25-50),2,-0.7323402630183186,1.80937644899258,Digital Beginner
UMKM0099,Jawa Timur,Jasa,Mikro,> 5 tahun,1,1,0,0,3,1,4.7,1,0,0,46.47,Sedang (25-50),2,-0.898171475435571,1.295728496610109,Digital Beginner
UMKM0100,Jawa Timur,Fashion,Mikro,1-3 tahun,1,1,0,0,3,1,8.5,0,0,0,41.85,Sedang (25-50),2,-1.1196796289857396,1.1353210105272251,Digital Beginner
UMKM0101,Jawa Timur,Kuliner,Mikro,> 5 tahun,1,1,1,1,2,1,43.3,1,0,0,71.66,Tinggi (50-75),3,1.5740730194632724,0.03905754166455669,Digital Adopter
UMKM0102,DKI Jakarta,Pertanian,Kecil,3-5 tahun,1,1,0,0,1,1,0.4,0,0,0,37.04,Sedang (25-50),2,-1.521867493133778,0.35227171604888263,Digital Beginner
UMKM0103,Jawa Barat,Elektronik,Menengah,1-3 tahun,1,0,0,0,0,1,5.4,1,0,1,30.54,Sedang (25-50),0,-1.220310692319045,-1.1537757914441351,Digital Laggard
UMKM0104,Jawa Tengah,Elektronik,Mikro,3-5 tahun,1,1,0,0,4,0,0.2,0,0,0,33.02,Sedang (25-50),2,-1.4414495985021374,1.7495718010056638,Digital Beginner
UMKM0105,Bali,Pertanian,Mikro,> 5 tahun,1,1,1,2,2,0,13.1,0,0,0,56.98,Tinggi (50-75),3,0.8357796538224374,0.043217949848838116,Digital Adopter
UMKM0106,Jawa Barat,Kuliner,Mikro,1-3 tahun,1,1,0,0,4,0,3.3,0,0,0,33.33,Sedang (25-50),2,-1.3657666947456142,1.729750813182749,Digital Beginner
UMKM0107,Jawa Barat,Fashion,Kecil,> 5 tahun,0,1,1,2,4,1,25.6,1,1,1,77.23,Sangat Tinggi (75-100),1,2.911622593705961,1.518278962352317,Digital Champion
UMKM0108,Sumatera Utara,Jasa,Mikro,> 5 tahun,1,1,0,0,1,0,8.0,1,0,0,32.8,Sedang (25-50),2,-1.2433945430393738,0.5835510031793487,Digital Beginner
UMKM0109,Jawa Barat,Kerajinan,Mikro,1-3 tahun,1,0,1,1,0,0,39.2,0,0,0,37.25,Sedang (25-50),3,0.3039063783227713,-2.1819091232154495,Digital Adopter
UMKM0110,Jawa Timur,Kuliner,Mikro,> 5 tahun,1,0,1,2,0,1,43.1,0,0,0,50.98,Tinggi (50-75),3,1.1551116563761996,-2.5471925603501986,Digital Adopter
UMKM0111,Jawa Barat,Jasa,Mikro,< 1 tahun,1,0,0,0,0,1,4.0,1,0,1,30.4,Sedang (25-50),0,-1.2544900682090876,-1.1448243775886253,Digital Laggard
UMKM0112,Jawa Timur,Kuliner,Mikro,1-3 tahun,1,0,0,0,0,1,2.3,1,0,1,30.23,Sedang (25-50),0,-1.2959935960755682,-1.1339548036212204,Digital Laggard
UMKM0113,Bali,Kuliner,Kecil,1-3 tahun,1,0,1,1,0,1,22.3,1,0,1,55.56,Tinggi (50-75),3,0.8243713566762466,-1.8542800228795309,Digital Adopter
UMKM0114,Sumatera Utara,Fashion,Mikro,> 5 tahun,1,0,1,1,0,1,46.1,0,0,0,47.94,Sedang (25-50),3,0.6937148523412365,-2.369788691088625,Digital Adopter
UMKM0115,DKI Jakarta,Fashion,Mikro,3-5 tahun,1,1,0,0,5,0,8.3,0,1,0,40.83,Sedang (25-50),2,-0.7093067253196704,2.3317052851495337,Digital Beginner
UMKM0116,Sulawesi Selatan,Fashion,Kecil,1-3 tahun,1,1,1,3,1,1,24.8,0,0,0,69.48,Tinggi (50-75),3,1.7751950028711359,-0.7893574589449337,Digital Adopter
UMKM0117,Sumatera Utara,Kuliner,Kecil,1-3 tahun,1,1,0,0,2,1,9.4,0,0,1,44.94,Sedang (25-50),2,-0.8024999042345137,0.9393705627749988,Digital Beginner
UMKM0118,Jawa Timur,Elektronik,Mikro,3-5 tahun,1,1,0,0,4,1,3.4,0,0,0,43.34,Sedang (25-50),2,-1.1419723321930706,1.585349541179193,Digital Beginner
UMKM0119,Bali,Kuliner,Mikro,< 1 tahun,1,0,0,0,0,0,3.0,0,0,0,10.3,Rendah (0-25),0,-2.2119627811566804,-1.3580032579148105,Digital Laggard
UMKM0120,Jawa Tengah,Kuliner,Mikro,> 5 tahun,1,1,0,0,4,1,2.3,0,0,0,43.23,Sedang (25-50),2,-1.1688275561066754,1.5923827949228078,Digital Beginner
UMKM0121,Sumatera Utara,Elektronik,Mikro,> 5 tahun,1,1,0,0,2,0,8.3,0,0,0,29.83,Sedang (25-50),2,-1.448133255922539,0.8629418604849927,Digital Beginner
UMKM0122,Bali,Pertanian,Mikro,3-5 tahun,1,0,0,0,0,1,6.8,1,0,0,25.68,Sedang (25-50),0,-1.5835564656430248,-1.3899510466328573,Digital Laggard
UMKM0123,Jawa Barat,Jasa,Mikro,> 5 tahun,1,1,0,0,3,1,2.4,1,0,0,46.24,Sedang (25-50),2,-0.9543233072549268,1.3104343908013039,Digital Beginner
UMKM0124,Jawa Timur,Jasa,Mikro,1-3 tahun,1,1,1,2,5,0,42.0,0,0,0,65.87,Tinggi (50-75),3,1.8479932687289347,1.1106946186522155,Digital Adopter
UMKM0125,Jawa Barat,Kerajinan,Kecil,> 5 tahun,1,0,1,1,0,1,38.3,1,0,0,52.16,Tinggi (50-75),3,0.817567646205569,-2.1838057368471415,Digital Adopter
UMKM0126,Jawa Tengah,Fashion,Mikro,3-5 tahun,1,0,0,0,0,1,5.3,0,0,0,20.53,Rendah (0-25),0,-1.9344579707769265,-1.5164710374055965,Digital Laggard
UMKM0127,Sumatera Utara,Kuliner,Kecil,3-5 tahun,1,1,1,2,1,1,54.3,0,0,1,74.1,Tinggi (50-75),3,2.3581901059688604,-0.5541672249008709,Digital Adopter
UMKM0128,Sulawesi Selatan,Fashion,Mikro,1-3 tahun,1,1,1,1,5,0,23.0,0,0,0,60.63,Tinggi (50-75),3,0.8494919864218726,1.428763562786087,Digital Adopter
UMKM0129,Jawa Timur,Fashion,Menengah,> 5 tahun,1,1,1,1,3,1,89.0,1,1,1,88.23,Sangat Tinggi (75-100),1,3.6216014229066227,0.6080054664508018,Digital Champion
UMKM0130,Jawa Tengah,Kuliner,Kecil,1-3 tahun,1,1,0,0,2,1,4.4,1,1,1,54.44,Tinggi (50-75),2,-0.17811546916355755,1.3239546877207438,Digital Beginner
UMKM0131,Jawa Barat,Kerajinan,Kecil,1-3 tahun,1,1,1,2,3,1,44.8,1,0,1,82.15,Sangat Tinggi (75-100),3,2.644975132750933,0.47752492080752396,Digital Adopter
UMKM0132,Jawa Barat,Fashion,Kecil,< 1 tahun,1,1,0,0,1,1,9.3,0,1,1,47.93,Sedang (25-50),2,-0.47498627919223135,0.7390941391444915,Digital Beginner
UMKM0133,Jawa Timur,Kuliner,Menengah,3-5 tahun,1,1,1,1,1,1,52.7,1,0,1,75.6,Sangat Tinggi (75-100),3,2.0987703835469,-0.21124077592469365,Digital Adopter
UMKM0134,Jawa Barat,Kuliner,Mikro,3-5 tahun,1,1,0,0,1,1,0.6,0,0,0,37.06,Sedang (25-50),2,-1.516984725149486,0.3509929426409526,Digital Beginner
UMKM0135,Bali,Kerajinan,Mikro,> 5 tahun,1,0,1,2,0,0,49.5,0,1,0,46.62,Sedang (25-50),1,1.522180142739678,-2.2278474256890854,Digital Champion
UMKM0136,Jawa Barat,Kuliner,Mikro,> 5 tahun,1,1,0,0,2,0,4.8,0,0,0,29.48,Sedang (25-50),2,-1.5335816956476458,0.8853203951237675,Digital Beginner
UMKM0137,Jawa Tengah,Jasa,Kecil,< 1 tahun,1,1,0,0,4,1,4.3,1,0,1,53.43,Tinggi (50-75),2,-0.4082939817980218,1.9429296935089342,Digital Beginner
UMKM0138,DKI Jakarta,Fashion,Kecil,> 5 tahun,1,0,1,3,0,1,64.1,1,0,1,66.41,Tinggi (50-75),3,2.914146512991915,-2.5147146058979435,Digital Adopter
